encoding,model,mae,mse,rmse,r2
BackwardDifferenceEncoder,RandomForestRegressor,19.939230769230765,663.3513574898783,25.755608272566157,0.9217036513580689
BackwardDifferenceEncoder,SVR,58.990433996629655,5568.635002204423,74.62328726479706,0.3427257174205586
BackwardDifferenceEncoder,LinearRegression,17.347251528873414,494.083876564025,22.227997583318768,0.9416825442188018
BackwardDifferenceEncoder,MLPRegressor,55.44224961116064,6847.679961469931,82.7507097339348,0.19175813601949854
BackwardDifferenceEncoder,KNeighborsRegressor,38.977327935222675,2537.0297975708504,50.36893683184955,0.7005505946392727
BackwardDifferenceEncoder,DecisionTreeRegressor,29.42914979757085,1295.6396761133603,35.9949951536788,0.8470737194551708
BaseNEncoder,RandomForestRegressor,20.031336032388662,653.2718898785425,25.55918406128299,0.922893345931407
BaseNEncoder,SVR,43.73676162140242,3631.833945386498,60.26469899855551,0.5713292306002097
BaseNEncoder,LinearRegression,17.802985851073196,514.0561837359548,22.672807142829818,0.9393251830588965
BaseNEncoder,MLPRegressor,312.11881774376224,117758.32093875122,343.1593229663901,-12.899189995777716
BaseNEncoder,KNeighborsRegressor,28.50526315789474,1353.5167611336033,36.79017207262835,0.8402424009149163
BaseNEncoder,DecisionTreeRegressor,30.384615384615383,1417.2024291497976,37.6457491511299,0.83272548667303
BinaryEncoder,RandomForestRegressor,20.18708502024291,667.9481016194331,25.844691942823253,0.9211610908026081
BinaryEncoder,SVR,50.86571740050709,4470.126032969788,66.85900113649461,0.47238436704922937
BinaryEncoder,LinearRegression,17.86951413596112,516.5441393725517,22.72760742736797,0.9390315259498407
BinaryEncoder,MLPRegressor,240.86599855367714,73954.72047447193,271.94617201658116,-7.728985797054268
BinaryEncoder,KNeighborsRegressor,34.259919028340086,1990.219433198381,44.61187547277497,0.7650914363011239
BinaryEncoder,DecisionTreeRegressor,29.10931174089069,1298.1214574898786,36.02945263933215,0.8467807911032275
CatBoostEncoder,RandomForestRegressor,19.819514170040485,649.7567149797569,25.490325909641818,0.9233082472597982
CatBoostEncoder,SVR,38.517974556640716,2967.4269810751957,54.474094587016275,0.64975017408737
CatBoostEncoder,LinearRegression,17.80897301557148,515.4554503461553,22.70364398827103,0.9391600255369915
CatBoostEncoder,MLPRegressor,290.3347036438975,108660.12548096132,329.6363533971357,-11.825316436113791
CatBoostEncoder,KNeighborsRegressor,25.468016194331984,1057.2338461538461,32.51513257167878,0.8752131146188626
CatBoostEncoder,DecisionTreeRegressor,27.356275303643724,1215.6963562753037,34.866837486002424,0.8565095485538238
CountEncoder,RandomForestRegressor,20.09773279352227,662.6930299595141,25.742824824783973,0.9217813547369132
CountEncoder,SVR,43.65341167798909,3685.484680185153,60.708192858832106,0.5649967544708375
CountEncoder,LinearRegression,17.641233908982816,506.1942740931578,22.498761612434535,0.9402531359626383
CountEncoder,MLPRegressor,303.27331086742373,114604.15401092629,338.5323529752013,-12.526898975841727
CountEncoder,KNeighborsRegressor,26.757085020242915,1176.9873684210525,34.30724950241643,0.8610784280388695
CountEncoder,DecisionTreeRegressor,30.20242914979757,1332.17004048583,36.49890464775388,0.8427619861442651
GLMMEncoder,RandomForestRegressor,19.994979757085027,657.9960639676115,25.651433955387592,0.9223357446280456
GLMMEncoder,SVR,43.565187574476454,3720.7444271498543,60.997905104600555,0.5608349940248786
GLMMEncoder,LinearRegression,17.71645348730318,510.1609937681487,22.586743761953574,0.9397849381318338
GLMMEncoder,MLPRegressor,286.1744440712901,105629.31045685968,325.00663140443714,-11.467584825080063
GLMMEncoder,KNeighborsRegressor,26.77651821862348,1131.4563562753035,33.63712764602982,0.8664525212109603
