encoding,model,mae,mse,rmse,r2
OrdinalEncoder,MLPRegressor,1113.496982820935,1836047.8310665842,1355.0084247216266,0.3075644227129024
OrdinalEncoder,KNeighborsRegressor,491.9126892089844,700230.0625,836.7974853515625,0.7359195866695949
OrdinalEncoder,DecisionTreeRegressor,169.85635700082778,275283.41312546725,524.6745783106585,0.8961813380567737
PolynomialEncoder,RandomForestRegressor,175.64178218153187,223732.38195532418,49.003574992118,0.9256229710164702
PolynomialEncoder,SVR,1287.783217879501,4178913.4352146676,2044.2390846509777,-0.5760092346094983
PolynomialEncoder,LinearRegression,1073204348269.566,8.652400733013721e+27,93018281631939.02,-3.26311221042343e+17
PolynomialEncoder,MLPRegressor,1017.8734616319169,1512482.9884751826,1229.8304714370931,0.42959164051116294
PolynomialEncoder,KNeighborsRegressor,963.2260131835938,164364.75,1301.29345703125,0.3613749333947498
PolynomialEncoder,DecisionTreeRegressor,172.46566027128998,276583.1216357618,525.9117051708982,0.8956911741310835
RankHotEncoder,RandomForestRegressor,175.10682741830058,214498.7784597193,463.1401283194097,0.9191052743959007
RankHotEncoder,SVR,1268.9254585763883,4073336.1252022455,2018.2507587518073,-0.5361924692889553
RankHotEncoder,LinearRegression,5456610762386.192,1.8976765337833326e+27,43562329297035.21,-7.156778401634066e+20
RankHotEncoder,MLPRegressor,1000.522680538517,1479339.5750551189,1216.2810427919687,0.44209113982510784
RankHotEncoder,KNeighborsRegressor,796.12841796875,1299361.375,1139.8953857421875,0.5099669677623053
RankHotEncoder,DecisionTreeRegressor,163.01975837495107,230367.5853696222,479.9662335723443,0.9131206119663098
SumEncoder,RandomForestRegressor,161.64257808432487,219557.37209948176,468.56949548544213,0.9171975080796088
SumEncoder,SVR,1287.6656010060535,4177031.1558739613,2043.7786464962298,-0.5752993635702779
SumEncoder,LinearRegression,20875847462977.27,3.481187454598959e+28,186579405471208.4,-1.3128732291083845e+22
SumEncoder,MLPRegressor,906.7711545043808,1595138.9505511895,1262.9881038834806,0.39841928876307564
SumEncoder,KNeighborsRegressor,590.5820922851562,742522.625,861.697509765625,0.7199696708378955
SumEncoder,DecisionTreeRegressor,184.2907799814444,281686.51351343316,530.7414752150364,0.8937665128879801
TargetEncoder,RandomForestRegressor,179.9064083084934,218909.3184074643,467.87746088849406,0.9174419109893546
TargetEncoder,SVR,1258.1574191584655,4009918.9200697374,2002.478194655247,-0.5122757018154447
TargetEncoder,LinearRegression,308.2803916306073,284580.5676987379,533.4609336200149,0.8926750674220211
TargetEncoder,MLPRegressor,1002.4590800662046,1556104.2184982311,1247.4390640421002,0.41314060308070755
TargetEncoder,KNeighborsRegressor,301.1722412109375,360774.25,600.6448364257812,0.863939859419905
TargetEncoder,DecisionTreeRegressor,165.9290445932944,256613.33240998824,506.5701653374271,0.9032224553411254
MinHashEncoder,RandomForestRegressor,163.56191475122097,199567.60654314837,446.72990334557676,0.9247363230378185
MinHashEncoder,SVR,1221.8380625474806,3755863.516163092,1938.0050351232558,-0.41646283828845676
MinHashEncoder,LinearRegression,281.818115234375,297478.40625,545.4158325195312,0.8878108622635492
MinHashEncoder,MLPRegressor,274.71026611328125,309395.53125,556.2333374023438,0.8833165057474637
MinHashEncoder,KNeighborsRegressor,206.760498046875,282380.90625,531.395263671875,0.8935046313530979
MinHashEncoder,DecisionTreeRegressor,142.49701473084434,204612.55739952426,452.34119577982756,0.9228337018753893
SimilarityEncoder,RandomForestRegressor,169.32767588658294,228584.03604585308,478.10462876430415,0.9137932485854259
SimilarityEncoder,SVR,1275.572265799927,4096591.086263627,2024.00372684035,-0.5449626996254775
SimilarityEncoder,LinearRegression,33164354906.170242,7.206535260741607e+22,268449907072.83932,-2.717827563682068e+16
SimilarityEncoder,MLPRegressor,1042.2051971828291,1501235.021859524,1225.2489632150373,0.43383362817893256
SimilarityEncoder,KNeighborsRegressor,308.7583923339844,379586.8125,616.1061401367188,0.8568449955639897
SimilarityEncoder,DecisionTreeRegressor,180.02388482785264,296114.88289539947,544.1643895877417,0.8883250880442115
GapEncoder,RandomForestRegressor,172.17970801559258,203407.72950734067,451.007460589446,0.9232880831191345
GapEncoder,SVR,1245.107151871294,3904853.0340582,1976.070098467714,-0.4726518117388354
GapEncoder,LinearRegression,274.1563235245476,291906.2897301808,540.2835271690049,0.8899122905062693
GapEncoder,MLPRegressor,344.16858818519296,420128.8632023503,648.1734823350538,0.8415552323832998
GapEncoder,KNeighborsRegressor,219.37918090820312,309505.15625,556.3318481445312,0.8832751576110737
GapEncoder,DecisionTreeRegressor,155.86549775588097,205577.67631273987,453.40674489109654,0.9224697229743413
MeanEncoder,RandomForestRegressor,175.7590179772234,207906.43770042146,455.96758404564406,0.9215914684928628
MeanEncoder,SVR,1258.146305885979,4010126.1156824357,2002.5299287856938,-0.5123538422708636
MeanEncoder,LinearRegression,308.9770315035436,284619.7135376236,533.497622804098,0.8926603042055686
MeanEncoder,MLPRegressor,1010.5721236402975,1570827.3432256088,1253.326511020017,0.4075880160524331
MeanEncoder,KNeighborsRegressor,299.77728271484375,356691.875,597.2368774414062,0.8654794722280684
MeanEncoder,DecisionTreeRegressor,174.05402648333413,274955.3068896647,524.3618091448544,0.8963050779871586
DecisionTreeEncoder,RandomForestRegressor,167.5864912335285,205731.4214465147,453.5762575868745,0.922411740497709
DecisionTreeEncoder,SVR,1267.3383447284186,4061162.9774981854,2015.2327353182275,-0.5316015646212018
DecisionTreeEncoder,LinearRegression,278.05942739773934,301900.39952118666,549.4546382743407,0.8861431745466999
DecisionTreeEncoder,MLPRegressor,1081.68491603687,1729017.980706437,1314.9212830836823,0.34792899000090594
DecisionTreeEncoder,KNeighborsRegressor,325.9062194824219,404528.46875,636.0255126953125,0.8474386796286796
DecisionTreeEncoder,DecisionTreeRegressor,146.06263213903947,230134.35136542877,479.72320286330614,0.9132085723775824
QuantileEncoder,RandomForestRegressor,204.94683971581733,246436.0090135167,496.42321562706627,0.9070606673321385
QuantileEncoder,SVR,1261.3674551787065,4031427.98329046,2007.8416230595628,-0.5203874951773277
QuantileEncoder,LinearRegression,303.3962976533873,296620.8341560856,544.6290794257002,0.8881342767552328
QuantileEncoder,MLPRegressor,1034.4360177004262,1672162.365889339,1293.121172160343,0.3693711604072293
QuantileEncoder,KNeighborsRegressor,417.8293762207031,574253.0625,757.7948608398438,0.7834298085217973
QuantileEncoder,DecisionTreeRegressor,201.82264658046435,317804.7311355882,563.7417237845609,0.880145114552595
SummaryEncoder,RandomForestRegressor,183.12223496124284,218819.76666382528,467.7817511017561,0.9174756839729634
SummaryEncoder,SVR,1250.1360535391061,3953624.262057725,1988.3722644559607,-0.49104508714453843
SummaryEncoder,LinearRegression,313.5113646604969,284940.52617223916,533.7982073520285,0.8925393149382455
SummaryEncoder,MLPRegressor,786.925982242999,1128725.2553001915,1062.4148226094135,0.5743196279923215
SummaryEncoder,KNeighborsRegressor,232.8251953125,295168.375,543.2940063476562,0.8886820408413801
SummaryEncoder,DecisionTreeRegressor,166.10406320033954,242524.53998833246,492.4678060425193,0.9085358142573254
