encoding,model,mae,mse,rmse,r2
BackwardDifferenceEncoder,RandomForestRegressor,1.5912081339712918,5.065892464114832,2.250753754659721,0.532028252311486
BackwardDifferenceEncoder,SVR,1.5134359243696407,4.967766089410802,2.228848601724846,0.5410928685444336
BackwardDifferenceEncoder,LinearRegression,1.5931067803770713,4.8912324418765625,2.211613085934464,0.5481628142740916
BackwardDifferenceEncoder,MLPRegressor,1.5604779570037477,4.735826902167945,2.1761955110164033,0.5625187056659997
BackwardDifferenceEncoder,KNeighborsRegressor,1.6078947368421053,5.236794258373206,2.288404303957936,0.5162408640262575
BackwardDifferenceEncoder,DecisionTreeRegressor,2.099282296650718,9.132775119617225,3.0220481663297867,0.15634199418004635
BaseNEncoder,RandomForestRegressor,1.592392344497608,5.088735406698565,2.25582255656303,0.5299180907083763
BaseNEncoder,SVR,1.516677916984726,4.982321817401985,2.2321115154494375,0.5397482546357959
BaseNEncoder,LinearRegression,1.5931067803770713,4.891232441876563,2.2116130859344643,0.5481628142740915
BaseNEncoder,MLPRegressor,1.5752656836452452,4.782771345868579,2.1869548111171797,0.5581821206479659
BaseNEncoder,KNeighborsRegressor,1.6078947368421053,5.236794258373206,2.288404303957936,0.5162408640262575
BaseNEncoder,DecisionTreeRegressor,2.1315789473684212,9.30622009569378,3.0506097907949123,0.14031967448863925
BinaryEncoder,RandomForestRegressor,1.592392344497608,5.088735406698565,2.25582255656303,0.5299180907083763
BinaryEncoder,SVR,1.516677916984726,4.982321817401985,2.2321115154494375,0.5397482546357959
BinaryEncoder,LinearRegression,1.5931067803770713,4.891232441876563,2.2116130859344643,0.5481628142740915
BinaryEncoder,MLPRegressor,1.5752656836452452,4.782771345868579,2.1869548111171797,0.5581821206479659
BinaryEncoder,KNeighborsRegressor,1.6078947368421053,5.236794258373206,2.288404303957936,0.5162408640262575
BinaryEncoder,DecisionTreeRegressor,2.1315789473684212,9.30622009569378,3.0506097907949123,0.14031967448863925
CatBoostEncoder,RandomForestRegressor,1.5811124401913879,5.100955143540669,2.2585294205612354,0.5287892685616764
CatBoostEncoder,SVR,1.5087968834228533,4.847216566802285,2.2016395179053005,0.5522288670240187
CatBoostEncoder,LinearRegression,1.5947091212305304,4.888643541967654,2.211027711714092,0.5484019689785282
CatBoostEncoder,MLPRegressor,1.520340649462497,4.628283723300817,2.151344631457456,0.5724532176444774
CatBoostEncoder,KNeighborsRegressor,1.616507177033493,5.449808612440193,2.334482514914214,0.4965632454700796
CatBoostEncoder,DecisionTreeRegressor,2.15311004784689,9.700956937799043,3.114635923795756,0.10385508484612649
CountEncoder,RandomForestRegressor,1.5875837320574162,5.075456937799044,2.252877479535681,0.5311447153044478
CountEncoder,SVR,1.5255023535683039,4.988108811017316,2.2334074440229923,0.5392136697555971
CountEncoder,LinearRegression,1.6274469041785506,5.045964657744658,2.246322474121794,0.5338691224919543
CountEncoder,MLPRegressor,1.5399269193149014,4.62568563411595,2.1507407175473174,0.5726932212262955
CountEncoder,KNeighborsRegressor,1.6083732057416267,5.22511961722488,2.28585205497313,0.5173193318896239
CountEncoder,DecisionTreeRegressor,2.166267942583732,9.79066985645933,3.129004611127847,0.09556767810919176
GLMMEncoder,RandomForestRegressor,1.5882057416267943,5.089625358851674,2.2560198046231053,0.5298358796335458
GLMMEncoder,SVR,1.5056850758381282,4.884682822584815,2.2101318563797987,0.5487678481962218
GLMMEncoder,LinearRegression,1.5916335742414005,4.88667021652834,2.210581420470266,0.5485842587845466
GLMMEncoder,MLPRegressor,1.5148209332144087,4.6067275280117,2.146328848991156,0.574444513443672
GLMMEncoder,KNeighborsRegressor,1.6064593301435406,5.216602870813397,2.283988369237768,0.5181060830358503
GLMMEncoder,DecisionTreeRegressor,2.110047846889952,9.655502392344498,3.1073304285744214,0.10805403759284005
GrayEncoder,RandomForestRegressor,1.5759808612440191,5.027477511961722,2.242203717765565,0.5355769088263658
GrayEncoder,SVR,1.5210608244755688,5.009570834646449,2.2382070580369566,0.5372310732481104
GrayEncoder,LinearRegression,1.5931067803770718,4.891232441876564,2.2116130859344643,0.5481628142740914
GrayEncoder,MLPRegressor,1.5621545799742373,4.797659471399898,2.1903560147610475,0.5568068008649167
GrayEncoder,KNeighborsRegressor,1.6083732057416267,5.237942583732058,2.2886551910963036,0.5161347852200246
GrayEncoder,DecisionTreeRegressor,2.20933014354067,10.49401913875598,3.239447350823282,0.030594409291623603
HashingEncoder,RandomForestRegressor,1.5929425837320574,5.093026315789475,2.2567734303180447,0.5295217095690865
HashingEncoder,SVR,1.5212315328957289,5.021674821298793,2.240909373736206,0.5361129437521093
HashingEncoder,LinearRegression,1.5955267763057577,4.897950851668081,2.2131314582889288,0.5475421879986435
HashingEncoder,MLPRegressor,1.5753811872967296,4.739144961998243,2.1769577308708232,0.5622121933843596
HashingEncoder,KNeighborsRegressor,1.6083732057416267,5.237942583732058,2.2886551910963036,0.5161347852200246
HashingEncoder,DecisionTreeRegressor,2.1339712918660285,9.648325358851675,3.1061753586769174,0.1087170301317949
HelmertEncoder,RandomForestRegressor,1.5946172248803827,5.11626937799043,2.261917190789802,0.5273745861319303
HelmertEncoder,SVR,1.517456799680416,4.985812310359676,2.2328932599566143,0.5394258135059701
HelmertEncoder,LinearRegression,1.5931067803770713,4.891232441876563,2.2116130859344643,0.5481628142740915
HelmertEncoder,MLPRegressor,1.574863964734841,4.784735382888268,2.1874037996877185,0.5580006888779196
HelmertEncoder,KNeighborsRegressor,1.6083732057416267,5.237942583732058,2.2886551910963036,0.5161347852200246
HelmertEncoder,DecisionTreeRegressor,2.123205741626794,9.558612440191387,3.091700574148698,0.11700443686872952
JamesSteinEncoder,RandomForestRegressor,1.5882057416267943,5.089625358851674,2.2560198046231053,0.5298358796335458
JamesSteinEncoder,SVR,1.5057005420925411,4.884682935079812,2.210131881829637,0.548767837804276
JamesSteinEncoder,LinearRegression,1.5916347610198252,4.886675290680061,2.210582568166152,0.5485837900498339
JamesSteinEncoder,MLPRegressor,1.5142994240064724,4.606679294287374,2.14631761263038,0.5744489691285153
JamesSteinEncoder,KNeighborsRegressor,1.6064593301435406,5.216602870813397,2.283988369237768,0.5181060830358503
JamesSteinEncoder,DecisionTreeRegressor,2.110047846889952,9.655502392344498,3.1073304285744214,0.10805403759284005
LeaveOneOutEncoder,RandomForestRegressor,1.569366028708134,4.999097488038277,2.2358661605825776,0.5381985691732789
LeaveOneOutEncoder,SVR,1.508589148240787,4.842060661972414,2.2004682824281776,0.5527051538404566
LeaveOneOutEncoder,LinearRegression,1.5919638525249167,4.887694184278452,2.210813014318138,0.5484896677562153
LeaveOneOutEncoder,MLPRegressor,1.5288990797349469,4.613033679689469,2.147797401918875,0.5738619703196837
LeaveOneOutEncoder,KNeighborsRegressor,1.6117224880382774,5.30043062200957,2.3022664098686687,0.5103623301808584
LeaveOneOutEncoder,DecisionTreeRegressor,2.077751196172249,9.020334928229666,3.003387242469686,0.1667288772903378
MEstimateEncoder,RandomForestRegressor,1.5882057416267943,5.089625358851674,2.2560198046231053,0.5298358796335458
MEstimateEncoder,SVR,1.5056860807208416,4.884619593342094,2.210117551928425,0.5487736891214745
MEstimateEncoder,LinearRegression,1.5916339826599473,4.886671962416664,2.2105818153636982,0.54858409750469
MEstimateEncoder,MLPRegressor,1.5144809488664697,4.607324506972827,2.146467914265859,0.5743893663418038
MEstimateEncoder,KNeighborsRegressor,1.6064593301435406,5.216602870813397,2.283988369237768,0.5181060830358503
MEstimateEncoder,DecisionTreeRegressor,2.110047846889952,9.655502392344498,3.1073304285744214,0.10805403759284005
OneHotEncoder,RandomForestRegressor,1.5929186602870815,5.084247368421053,2.2548275695540565,0.5303326820427361
OneHotEncoder,SVR,1.5212315328957289,5.021674821298793,2.240909373736206,0.5361129437521093
OneHotEncoder,LinearRegression,1.5921621527549004,4.88815418656998,2.2109170465148575,0.5484471741427341
OneHotEncoder,MLPRegressor,1.566464590688229,4.730098101880759,2.1748788706226283,0.5630479148234273
OneHotEncoder,KNeighborsRegressor,1.6083732057416267,5.237942583732058,2.2886551910963036,0.5161347852200246
OneHotEncoder,DecisionTreeRegressor,2.124401913875598,9.509569377990431,3.0837589688544775,0.12153488588492056
OrdinalEncoder,RandomForestRegressor,1.5919497607655502,5.072037679425837,2.2521184869863835,0.5314605759998816
OrdinalEncoder,SVR,1.5093544850695815,4.882719033938527,2.2096875421512716,0.5489492570222884
OrdinalEncoder,LinearRegression,1.6067608657486658,4.950310499426079,2.2249293245912507,0.5427053628896945
OrdinalEncoder,MLPRegressor,1.5448830621807972,4.65169927183197,2.1567798385166648,0.5702901604444222
OrdinalEncoder,KNeighborsRegressor,1.6076555023923444,5.238277511961724,2.2887283613311835,0.5161038455682068
OrdinalEncoder,DecisionTreeRegressor,2.0717703349282295,8.94976076555024,2.9916150764345066,0.1732483039233932
PolynomialEncoder,RandomForestRegressor,1.5931220095693779,5.106539114832535,2.2597652787031963,0.5282734382666182
PolynomialEncoder,SVR,1.5177391320992066,4.987463578280587,2.2332629890544884,0.5392732743945846
PolynomialEncoder,LinearRegression,1.5931067803770715,4.891232441876564,2.2116130859344643,0.5481628142740915
PolynomialEncoder,MLPRegressor,1.563260308076541,4.779633999357482,2.1862374069065513,0.5584719391824696
PolynomialEncoder,KNeighborsRegressor,1.6083732057416267,5.237942583732058,2.2886551910963036,0.5161347852200246
PolynomialEncoder,DecisionTreeRegressor,2.150717703349282,9.564593301435407,3.0926676674734073,0.11645194308626727
RankHotEncoder,RandomForestRegressor,1.5897966507177033,5.072332655502392,2.2521839746127297,0.5314333270065306
RankHotEncoder,SVR,1.5210608244755688,5.009570834646449,2.2382070580369566,0.5372310732481104
RankHotEncoder,LinearRegression,1.5931067803770713,4.891232441876563,2.2116130859344643,0.5481628142740915
