encoding,model,mae,mse,rmse,r2
GLMMEncoder,MLPRegressor,1.5529639445917278,4.725361607980979,2.173789688074948,0.5634854577329733
GLMMEncoder,KNeighborsRegressor,1.6064593301435406,5.216602870813397,2.283988369237768,0.5181060830358503
GLMMEncoder,DecisionTreeRegressor,2.117224880382775,9.617224880382775,3.1011650843485863,0.11158999780059886
GrayEncoder,RandomForestRegressor,1.5902511961722487,5.071919258373206,2.2520921957977666,0.5314715153767744
GrayEncoder,SVR,1.5210608244755688,5.009570834646449,2.2382070580369566,0.5372310732481104
GrayEncoder,LinearRegression,1.5931067803770718,4.891232441876564,2.2116130859344643,0.5481628142740914
GrayEncoder,MLPRegressor,1.5723123876097063,4.820415621470361,2.1955444931657295,0.5547046568903709
GrayEncoder,KNeighborsRegressor,1.6083732057416267,5.237942583732058,2.2886551910963036,0.5161347852200246
GrayEncoder,DecisionTreeRegressor,2.1830143540669855,9.797846889952153,3.1301512567210157,0.09490468557023701
HashingEncoder,RandomForestRegressor,1.5866746411483255,5.036926555023924,2.244309817076048,0.5347040349493292
HashingEncoder,SVR,1.5212315328957289,5.021674821298793,2.240909373736206,0.5361129437521093
HashingEncoder,LinearRegression,1.5955267763057577,4.897950851668081,2.2131314582889288,0.5475421879986435
HashingEncoder,MLPRegressor,1.5771032706792436,4.780260944788838,2.18638078677728,0.5584140238691668
HashingEncoder,KNeighborsRegressor,1.6083732057416267,5.237942583732058,2.2886551910963036,0.5161347852200246
HashingEncoder,DecisionTreeRegressor,2.110047846889952,9.44976076555024,3.074046318055445,0.12705982370954372
HelmertEncoder,RandomForestRegressor,1.5862559808612442,5.0378194976076545,2.244508743045492,0.5346215476276076
HelmertEncoder,SVR,1.517456799680416,4.985812310359676,2.2328932599566143,0.5394258135059701
HelmertEncoder,LinearRegression,1.5931067803770713,4.891232441876563,2.2116130859344643,0.5481628142740915
HelmertEncoder,MLPRegressor,1.5517783382494406,4.683659645371422,2.164176435822972,0.5673377582827138
HelmertEncoder,KNeighborsRegressor,1.6083732057416267,5.237942583732058,2.2886551910963036,0.5161347852200246
HelmertEncoder,DecisionTreeRegressor,2.11244019138756,9.311004784688995,3.0513939084767463,0.13987767946266938
JamesSteinEncoder,RandomForestRegressor,1.5819736842105263,5.025499162679426,2.241762512551101,0.5357596627197285
JamesSteinEncoder,SVR,1.5057005420925411,4.884682935079812,2.210131881829637,0.548767837804276
JamesSteinEncoder,LinearRegression,1.5916347610198252,4.886675290680061,2.210582568166152,0.5485837900498339
JamesSteinEncoder,MLPRegressor,1.5517375455633664,4.722724230052573,2.1731829720602387,0.5637290906894986
JamesSteinEncoder,KNeighborsRegressor,1.6064593301435406,5.216602870813397,2.283988369237768,0.5181060830358503
JamesSteinEncoder,DecisionTreeRegressor,2.117224880382775,9.617224880382775,3.1011650843485863,0.11158999780059886
LeaveOneOutEncoder,RandomForestRegressor,1.5870454545454544,5.034376913875597,2.2437417217397364,0.5349395630487929
LeaveOneOutEncoder,SVR,1.5090678006578646,4.862617087845346,2.205134256195152,0.5508062137010579
