encoding,model,mae,mse,rmse,r2
BackwardDifferenceEncoder,RandomForestRegressor,1.588038277511962,5.076732775119618,2.2531606190237787,0.5310268573307729
BackwardDifferenceEncoder,SVR,1.5134359243696407,4.967766089410802,2.228848601724846,0.5410928685444336
BackwardDifferenceEncoder,LinearRegression,1.5931067803770713,4.8912324418765625,2.211613085934464,0.5481628142740916
BackwardDifferenceEncoder,MLPRegressor,1.5638512455039262,4.7213945011959,2.1728770101402195,0.5638519269994711
BackwardDifferenceEncoder,KNeighborsRegressor,1.6078947368421053,5.236794258373206,2.288404303957936,0.5162408640262575
BackwardDifferenceEncoder,DecisionTreeRegressor,2.099282296650718,9.163875598086124,3.027189389200174,0.15346902651124228
BaseNEncoder,RandomForestRegressor,1.5895215311004787,5.0853212918660295,2.255065695687385,0.530233476259157
BaseNEncoder,SVR,1.516677916984726,4.982321817401985,2.2321115154494375,0.5397482546357959
BaseNEncoder,LinearRegression,1.5931067803770713,4.891232441876563,2.2116130859344643,0.5481628142740915
BaseNEncoder,MLPRegressor,1.527053843071974,4.583306590307834,2.1408658506099427,0.5766080684791215
BaseNEncoder,KNeighborsRegressor,1.6078947368421053,5.236794258373206,2.288404303957936,0.5162408640262575
BaseNEncoder,DecisionTreeRegressor,2.0933014354066986,9.366028708133971,3.060396822004292,0.1347947366640161
BinaryEncoder,RandomForestRegressor,1.5895215311004787,5.0853212918660295,2.255065695687385,0.530233476259157
BinaryEncoder,SVR,1.516677916984726,4.982321817401985,2.2321115154494375,0.5397482546357959
BinaryEncoder,LinearRegression,1.5931067803770713,4.891232441876563,2.2116130859344643,0.5481628142740915
BinaryEncoder,MLPRegressor,1.527053843071974,4.583306590307834,2.1408658506099427,0.5766080684791215
BinaryEncoder,KNeighborsRegressor,1.6078947368421053,5.236794258373206,2.288404303957936,0.5162408640262575
BinaryEncoder,DecisionTreeRegressor,2.0933014354066986,9.366028708133971,3.060396822004292,0.1347947366640161
CatBoostEncoder,RandomForestRegressor,1.5727392344497606,5.046046770334929,2.2463407511628617,0.5338615371804524
CatBoostEncoder,SVR,1.5057620973184864,4.8476097701411405,2.2017288139417035,0.5521925440947453
CatBoostEncoder,LinearRegression,1.5947016117898345,4.889360143665113,2.211189757498237,0.5483357714918795
CatBoostEncoder,MLPRegressor,1.5265261779773678,4.629146356341318,2.151545109064952,0.5723735302262314
CatBoostEncoder,KNeighborsRegressor,1.638755980861244,5.572440191387559,2.3606016587699754,0.4852349129544724
CatBoostEncoder,DecisionTreeRegressor,2.0789473684210527,9.44976076555024,3.074046318055445,0.12705982370954372
CountEncoder,RandomForestRegressor,1.5841267942583732,5.053486004784689,2.247995997501928,0.5331743233140744
