encoding,model,acc,prec,recall,f1,auc,mcc
BackwardDifferenceEncoder,RandomForestClassifier,0.953757225433526,0.8704523983400566,0.853907609045809,0.8557634827810265,0.9937999263544476,0.9024447439144638
BackwardDifferenceEncoder,SVC,0.9653179190751445,0.8823226405946994,0.9010373042974036,0.8886063582524655,0.9880621249411391,0.9273859962811387
BackwardDifferenceEncoder,LogisticRegression,0.930635838150289,0.8557346572872986,0.9099393135175815,0.8758412045484789,0.9914931755894114,0.8555297621164445
BackwardDifferenceEncoder,GaussianNB,0.7947976878612717,0.6319771039603961,0.8095005805449583,0.6758625155824961,0.955484480453854,0.6397270585769642
BackwardDifferenceEncoder,MLPClassifier,0.9797687861271677,0.9017184557438794,0.9592004381161008,0.9252590496022025,0.9988568588509789,0.9582557180938125
BackwardDifferenceEncoder,KNeighborsClassifier,0.9075144508670521,0.800244520104805,0.7151601056632949,0.7520259575815131,0.9824735292311192,0.8003062958593633
BackwardDifferenceEncoder,DecisionTreeClassifier,0.9595375722543352,0.8496447921273773,0.8913407641260228,0.8632736609919585,0.9379628097430991,0.9157425136112542
BaseNEncoder,RandomForestClassifier,0.9364161849710982,0.8157181054239878,0.7946806454398776,0.7896447610030146,0.9854524218778913,0.8666358470516684
BaseNEncoder,SVC,0.8786127167630058,0.4827179570592062,0.5108993032089674,0.49251012375096676,0.9682729411266445,0.7476795476923197
BaseNEncoder,LogisticRegression,0.7890173410404624,0.6095005020080322,0.4172927687539325,0.41771126706373024,0.9184338496265603,0.5309696978457388
BaseNEncoder,GaussianNB,0.7312138728323699,0.550915750915751,0.6242676702943301,0.5114279020347277,0.908843904831061,0.5473633253293221
BaseNEncoder,MLPClassifier,0.9566473988439307,0.8768312404870624,0.9117163842535919,0.8817213167201824,0.9953890142707199,0.9100912559716656
BaseNEncoder,KNeighborsClassifier,0.846820809248555,0.5756190476190477,0.5201931631406728,0.5383338706321606,0.9543255826559678,0.6628145070560131
BaseNEncoder,DecisionTreeClassifier,0.9450867052023122,0.8096992512938396,0.8485439082533341,0.8222696149166737,0.9125350807330361,0.8857253924427457
BinaryEncoder,RandomForestClassifier,0.9364161849710982,0.8553915644449815,0.8709168223696927,0.8543819942160191,0.9945650831950857,0.8669905149220605
BinaryEncoder,SVC,0.9624277456647399,0.8517511354824416,0.917740480639134,0.8734839010627814,0.987321896690492,0.9227599013869772
