encoder,time
BackwardDifferenceEncoder,12411.33694767952
BaseNEncoder,10093.592090845108
BinaryEncoder,9931.996614217758
CatBoostEncoder,13851.32710814476
CountEncoder,10207.859706163406
GLMMEncoder,6607.550318956375
GrayEncoder,5949.867917537689
HashingEncoder,7089.669322252274
HelmertEncoder,7194.948434591293
JamesSteinEncoder,6885.177777290344
LeaveOneOutEncoder,7950.561102390289
MEstimateEncoder,3997.847523212433
OneHotEncoder,1938.4704687595367
OrdinalEncoder,1704.5189702510834
PolynomialEncoder,2562.582340478897
RankHotEncoder,2459.4356038570404
SumEncoder,2515.9949893951416
TargetEncoder,3234.3693809509277
MinHashEncoder,6005.559468984604
SimilarityEncoder,5316.328301668167
GapEncoder,6019.033221721649
MeanEncoder,7332.597266435623
DecisionTreeEncoder,6419.312075853348
