encoder,time
BackwardDifferenceEncoder,3964.2618861198425
BaseNEncoder,4890.21006155014
BinaryEncoder,4715.076050519943
CatBoostEncoder,11367.811300516129
CountEncoder,4769.648130893707
GLMMEncoder,6044.011267185211
GrayEncoder,4141.25448846817
HashingEncoder,4439.064276456833
HelmertEncoder,4193.6431748867035
JamesSteinEncoder,6833.922824859619
LeaveOneOutEncoder,9768.879940032959
MEstimateEncoder,7863.830040931702
OneHotEncoder,6009.677990198135
OrdinalEncoder,6756.460867404938
PolynomialEncoder,5013.161184310913
RankHotEncoder,7936.933798551559
SumEncoder,4867.731233596802
TargetEncoder,7509.020903348923
MinHashEncoder,9853.915028572083
SimilarityEncoder,6625.29104590416
GapEncoder,5788.765917301178
MeanEncoder,5831.686754703522
DecisionTreeEncoder,4501.569536209106
WOEEncoder,9553.348834753036
