encoder,time
BackwardDifferenceEncoder,766.1259815692902
BaseNEncoder,1354.3637795448303
BinaryEncoder,2383.967211008072
CatBoostEncoder,1367.8975853919983
CountEncoder,843.7162382602692
GLMMEncoder,3696.973567008972
GrayEncoder,2224.2734405994415
HashingEncoder,827.1614084243774
HelmertEncoder,557.2840008735657
JamesSteinEncoder,1174.2567780017853
LeaveOneOutEncoder,1296.8411202430725
MEstimateEncoder,957.9330263137817
OneHotEncoder,762.2901449203491
OrdinalEncoder,679.5682680606842
PolynomialEncoder,443.4596140384674
RankHotEncoder,1347.1628952026367
SumEncoder,659.3657302856445
TargetEncoder,1416.6543498039246
MinHashEncoder,1355.0578603744507
SimilarityEncoder,2544.6772470474243
GapEncoder,810.2674734592438
MeanEncoder,1465.0482170581818
DecisionTreeEncoder,711.2722990512848
QuantileEncoder,750.1056320667267
SummaryEncoder,1591.0670075416565
