encoder,time
BackwardDifferenceEncoder,2452.478232383728
BaseNEncoder,908.2288734912872
BinaryEncoder,1990.865228652954
CatBoostEncoder,1510.171570301056
CountEncoder,459.71895241737366
GLMMEncoder,3706.2081384658813
GrayEncoder,1114.150593996048
HashingEncoder,1254.6846051216125
HelmertEncoder,1354.2392864227295
JamesSteinEncoder,1028.7976410388947
LeaveOneOutEncoder,1009.4188666343689
MEstimateEncoder,785.921991109848
OneHotEncoder,546.2093803882599
OrdinalEncoder,332.7149455547333
PolynomialEncoder,1227.4168276786804
RankHotEncoder,676.8710341453552
SumEncoder,2310.2780656814575
TargetEncoder,1246.9015202522278
MinHashEncoder,660.4548029899597
SimilarityEncoder,1996.782253742218
GapEncoder,1263.1881198883057
MeanEncoder,1277.935434103012
DecisionTreeEncoder,495.4768466949463
QuantileEncoder,594.6570112705231
SummaryEncoder,861.1128857135773
