encoder,time
BackwardDifferenceEncoder,74440.7956867218
BaseNEncoder,79371.84008002281
BinaryEncoder,149920.20224905014
CatBoostEncoder,127036.23910689354
CountEncoder,44988.61878490448
GLMMEncoder,107983.19261360168
GrayEncoder,100887.31905841827
HashingEncoder,92127.62238502502
HelmertEncoder,154773.45213365555
JamesSteinEncoder,126410.8625471592
LeaveOneOutEncoder,73398.59939050674
MEstimateEncoder,120771.83801984787
OneHotEncoder,180386.98566675186
OrdinalEncoder,65041.88339424133
PolynomialEncoder,107128.79616594315
RankHotEncoder,135962.28746891022
SumEncoder,84478.00575828552
TargetEncoder,72909.8500881195
MinHashEncoder,72430.41514992714
SimilarityEncoder,145600.6381392479
GapEncoder,22874.654910564423
MeanEncoder,5774.918766498566
DecisionTreeEncoder,7262.042387008667
WOEEncoder,9315.553147792816
