encoder,time
BackwardDifferenceEncoder,4431.39675784111
BaseNEncoder,107.46492648124695
BinaryEncoder,4842.969083070755
CatBoostEncoder,641.2109649181366
CountEncoder,79.26118636131287
GLMMEncoder,2953.7641999721527
GrayEncoder,5025.760506153107
HashingEncoder,237.35543608665466
HelmertEncoder,5548.900176286697
JamesSteinEncoder,738.0914475917816
LeaveOneOutEncoder,435.4524505138397
MEstimateEncoder,397.816691160202
OneHotEncoder,6216.008498430252
OrdinalEncoder,80.86171960830688
PolynomialEncoder,5935.121868848801
RankHotEncoder,6336.347188949585
SumEncoder,6147.934124469757
TargetEncoder,814.7691588401794
MinHashEncoder,0.0
SimilarityEncoder,7554.104153394699
GapEncoder,0.0
MeanEncoder,956.066000699997
DecisionTreeEncoder,141.93619585037231
