encoder,time
BackwardDifferenceEncoder,73911.16387367249
BaseNEncoder,62995.25748825073
BinaryEncoder,140012.07713842392
CatBoostEncoder,94161.74078083038
CountEncoder,68007.8927230835
GLMMEncoder,117116.48332858086
GrayEncoder,92145.89147400856
HashingEncoder,111117.02554798126
HelmertEncoder,184444.04885578156
JamesSteinEncoder,123237.84922599792
LeaveOneOutEncoder,98102.0523545742
MEstimateEncoder,92515.95528745651
OneHotEncoder,123435.95089888573
OrdinalEncoder,100881.8528687954
PolynomialEncoder,119015.36385321617
RankHotEncoder,117807.01483297348
SumEncoder,98651.13779354095
TargetEncoder,68931.94684696198
MinHashEncoder,146780.21267342567
SimilarityEncoder,28426.59385585785
GapEncoder,15031.593784332275
MeanEncoder,3755.842030763626
DecisionTreeEncoder,5561.450382947922
WOEEncoder,5273.114675760269
