encoder,time
BackwardDifferenceEncoder,103771.73625254631
BaseNEncoder,8355.680023431778
BinaryEncoder,4428.300589323044
CatBoostEncoder,6659.737671136856
CountEncoder,3961.9617686271667
GLMMEncoder,129293.24577593803
GrayEncoder,8923.571304798126
HashingEncoder,2941.2448587417603
HelmertEncoder,129058.99681067467
JamesSteinEncoder,13979.23330616951
LeaveOneOutEncoder,14092.174269914627
MEstimateEncoder,10409.58871102333
OneHotEncoder,583849.8931634426
OrdinalEncoder,4246.265400648117
PolynomialEncoder,0.0
RankHotEncoder,77403.85374808311
SumEncoder,36400.2733669281
TargetEncoder,2113.302024126053
MinHashEncoder,2533.287440061569
SimilarityEncoder,85475.98799800873
GapEncoder,7486.146604061127
MeanEncoder,10491.80852341652
DecisionTreeEncoder,4567.702351808548
WOEEncoder,6755.97598195076
