encoder,time
BackwardDifferenceEncoder,2322.554645061493
BaseNEncoder,1674.1978180408478
BinaryEncoder,2021.8832411766052
CatBoostEncoder,5986.909611940384
CountEncoder,6212.4484939575195
GLMMEncoder,14657.942953824997
GrayEncoder,8126.546158075333
HashingEncoder,4085.9920468330383
HelmertEncoder,6966.811155319214
JamesSteinEncoder,6328.499015569687
LeaveOneOutEncoder,5409.583630800247
MEstimateEncoder,5365.007983446121
OneHotEncoder,6759.290910482407
OrdinalEncoder,4887.917117595673
PolynomialEncoder,10825.077770233154
RankHotEncoder,15499.904710769653
SumEncoder,13036.673652410507
TargetEncoder,11733.802975416183
MinHashEncoder,15840.762408018112
SimilarityEncoder,14154.275762081146
GapEncoder,18096.658155441284
MeanEncoder,12624.711309432983
DecisionTreeEncoder,12771.249805927277
QuantileEncoder,13656.631489038467
SummaryEncoder,14747.724685907364
