encoder,time
BackwardDifferenceEncoder,10104.287194013596
BaseNEncoder,1163.1177487373352
BinaryEncoder,9785.348765611649
CatBoostEncoder,5056.332089662552
CountEncoder,2315.643030643463
GLMMEncoder,5500.082699298859
GrayEncoder,8037.082195520401
HashingEncoder,1467.317831993103
HelmertEncoder,8867.74544095993
JamesSteinEncoder,2149.8386800289154
LeaveOneOutEncoder,1981.1188778877258
MEstimateEncoder,1519.8034811019897
OneHotEncoder,2329.995428800583
OrdinalEncoder,1319.759429693222
PolynomialEncoder,5013.390564441681
RankHotEncoder,6543.095921754837
SumEncoder,6954.837427616119
TargetEncoder,1973.9409847259521
MinHashEncoder,27031.986042022705
SimilarityEncoder,12906.087953090668
GapEncoder,12431.26116657257
MeanEncoder,1803.1835932731628
DecisionTreeEncoder,955.389740228653
