encoder,time
BackwardDifferenceEncoder,4784.719764709473
BaseNEncoder,124.39952111244202
BinaryEncoder,4867.317425727844
CatBoostEncoder,599.6951334476471
CountEncoder,101.52097392082214
GLMMEncoder,3163.036616563797
GrayEncoder,5173.775691986084
HashingEncoder,214.71373581886292
HelmertEncoder,6089.85548210144
JamesSteinEncoder,613.0595071315765
LeaveOneOutEncoder,428.48719215393066
MEstimateEncoder,425.01145577430725
OneHotEncoder,5850.830635309219
OrdinalEncoder,97.5719428062439
PolynomialEncoder,5922.161604642868
RankHotEncoder,6403.982426166534
SumEncoder,5934.770998954773
TargetEncoder,1023.400651216507
MinHashEncoder,0.0
SimilarityEncoder,7521.4087545871735
GapEncoder,0.0
MeanEncoder,1141.4062278270721
DecisionTreeEncoder,183.30914068222046
