encoder,time
BackwardDifferenceEncoder,1458.9151346683502
BaseNEncoder,238.7520523071289
BinaryEncoder,1525.9240534305573
CatBoostEncoder,2003.5377352237701
CountEncoder,1340.0036406517029
GLMMEncoder,4879.954137086868
GrayEncoder,592.474362373352
HashingEncoder,1429.2270789146423
HelmertEncoder,1320.7783319950104
JamesSteinEncoder,1809.6544349193573
LeaveOneOutEncoder,1181.4109513759613
MEstimateEncoder,933.9975991249084
OneHotEncoder,400.875226020813
OrdinalEncoder,423.0461618900299
PolynomialEncoder,886.1845746040344
RankHotEncoder,211.0890998840332
SumEncoder,357.66491317749023
TargetEncoder,1613.8755178451538
MinHashEncoder,416.19103479385376
SimilarityEncoder,1025.0083212852478
GapEncoder,341.5885865688324
MeanEncoder,1386.2147240638733
DecisionTreeEncoder,421.1187252998352
QuantileEncoder,979.4443731307983
SummaryEncoder,1373.5565104484558
