encoder,time
BackwardDifferenceEncoder,20772.957812309265
BaseNEncoder,9921.058780908585
BinaryEncoder,23571.884932518005
CatBoostEncoder,33815.93668651581
CountEncoder,22774.801124811172
GLMMEncoder,15249.64253115654
GrayEncoder,19646.31435394287
HashingEncoder,29007.52765393257
HelmertEncoder,79034.51335501671
JamesSteinEncoder,18018.55552124977
LeaveOneOutEncoder,14708.350416183472
MEstimateEncoder,11553.693077325821
OneHotEncoder,32976.82085061073
OrdinalEncoder,18316.659857988358
PolynomialEncoder,0.0
RankHotEncoder,74676.64386987686
SumEncoder,48453.17244195938
TargetEncoder,16525.48054075241
MinHashEncoder,14522.707565546036
SimilarityEncoder,47319.95305848122
GapEncoder,21973.219132900238
MeanEncoder,17410.52135515213
DecisionTreeEncoder,14566.758841514587
QuantileEncoder,23085.05188846588
SummaryEncoder,22603.936393737793
