encoder,time
BackwardDifferenceEncoder,6607.53591799736
BaseNEncoder,10176.137018918991
BinaryEncoder,10168.725670337677
CatBoostEncoder,9931.088091135025
CountEncoder,7813.173120260239
GLMMEncoder,8520.447815179825
GrayEncoder,9033.62882733345
HashingEncoder,23037.35221028328
HelmertEncoder,10488.697387456894
JamesSteinEncoder,11350.985893249512
LeaveOneOutEncoder,9749.392679691315
MEstimateEncoder,10469.420351266861
OneHotEncoder,7691.323897123337
OrdinalEncoder,10444.275505542755
PolynomialEncoder,17555.53417301178
RankHotEncoder,19304.38716650009
SumEncoder,17144.596081256866
TargetEncoder,17727.98703479767
MinHashEncoder,8910.146855354309
SimilarityEncoder,12517.092700242996
GapEncoder,7936.980839252472
MeanEncoder,13732.503063678741
DecisionTreeEncoder,10324.013378620148
QuantileEncoder,9048.202264785767
SummaryEncoder,8834.342390060425
