encoder,time
BackwardDifferenceEncoder,61148.09565639496
BaseNEncoder,24069.060791015625
BinaryEncoder,13846.310551643372
CatBoostEncoder,25035.324945926666
CountEncoder,25750.90011048317
GLMMEncoder,28980.695552110672
GrayEncoder,28047.717543125153
HashingEncoder,25336.837154865265
HelmertEncoder,37423.816675424576
JamesSteinEncoder,8403.30138516426
LeaveOneOutEncoder,15137.72330236435
MEstimateEncoder,18824.153683662415
OneHotEncoder,67113.00686335564
OrdinalEncoder,23755.263944625854
PolynomialEncoder,0.0
RankHotEncoder,45855.436442136765
SumEncoder,40658.24659371376
TargetEncoder,16607.08843779564
MinHashEncoder,22207.444437026978
SimilarityEncoder,61791.90156817436
GapEncoder,26844.41737627983
MeanEncoder,18553.12763929367
DecisionTreeEncoder,15937.725814342499
QuantileEncoder,17991.3496863842
SummaryEncoder,22151.10751056671
