encoder,time
BackwardDifferenceEncoder,0.0
BaseNEncoder,0.0
BinaryEncoder,0.0
CatBoostEncoder,0.0
CountEncoder,0.0
GLMMEncoder,6459.823520898819
GrayEncoder,3138.6260714530945
HashingEncoder,2180.3444724082947
HelmertEncoder,2234.882737159729
JamesSteinEncoder,2028.286204814911
LeaveOneOutEncoder,4231.908389806747
MEstimateEncoder,6858.804697275162
OneHotEncoder,7866.351562976837
OrdinalEncoder,5893.771800279617
PolynomialEncoder,9704.260911941528
RankHotEncoder,5827.438251495361
SumEncoder,6491.2005043029785
TargetEncoder,6596.014129638672
MinHashEncoder,6790.124320983887
SimilarityEncoder,7422.225186824799
GapEncoder,7072.29204916954
MeanEncoder,7384.983015060425
DecisionTreeEncoder,10544.117698669434
QuantileEncoder,11369.231150388718
SummaryEncoder,9401.915644407272
