encoder,time
BackwardDifferenceEncoder,6330.819059848785
BaseNEncoder,12946.069270133972
BinaryEncoder,8693.806216716766
CatBoostEncoder,10538.854064702988
CountEncoder,12504.796972751617
GLMMEncoder,9925.174472808838
GrayEncoder,6231.970506906509
HashingEncoder,8157.227193593979
HelmertEncoder,6890.46709561348
JamesSteinEncoder,8202.072104215622
LeaveOneOutEncoder,6518.97404050827
MEstimateEncoder,5803.813055753708
OneHotEncoder,1790.136058330536
OrdinalEncoder,1460.2258145809174
PolynomialEncoder,1587.8630676269531
RankHotEncoder,2186.379410266876
SumEncoder,1725.303243637085
TargetEncoder,4054.1074669361115
MinHashEncoder,5983.067787647247
SimilarityEncoder,3654.0246291160583
GapEncoder,9943.074374198914
MeanEncoder,9019.047993421555
DecisionTreeEncoder,3816.233673095703
