encoder,time
BackwardDifferenceEncoder,3760.2266347408295
BaseNEncoder,5946.151847362518
BinaryEncoder,3935.3785061836243
CatBoostEncoder,7096.915408611298
CountEncoder,5662.6491594314575
GLMMEncoder,6183.329786300659
GrayEncoder,4652.165510892868
HashingEncoder,7752.431243896484
HelmertEncoder,4001.057808637619
JamesSteinEncoder,6831.825734615326
LeaveOneOutEncoder,7631.1045026779175
MEstimateEncoder,7239.042330265045
OneHotEncoder,6243.164567947388
OrdinalEncoder,6113.604742765427
PolynomialEncoder,5388.813670396805
RankHotEncoder,6591.846826076508
SumEncoder,4667.759220600128
TargetEncoder,6622.036563396454
MinHashEncoder,8390.561213254929
SimilarityEncoder,9520.533183813095
GapEncoder,4860.387288093567
MeanEncoder,6645.244545698166
DecisionTreeEncoder,4852.427751302719
WOEEncoder,7468.499617099762
