encoder,time
BackwardDifferenceEncoder,700.6830582618713
BaseNEncoder,1506.1472945213318
BinaryEncoder,1452.8877530097961
CatBoostEncoder,952.6581723690033
CountEncoder,391.4334547519684
GLMMEncoder,6690.862765550613
GrayEncoder,2533.7172572612762
HashingEncoder,537.5714716911316
HelmertEncoder,1292.1242530345917
JamesSteinEncoder,1308.6942701339722
LeaveOneOutEncoder,1387.4490568637848
MEstimateEncoder,1419.9964499473572
OneHotEncoder,184.0539801120758
OrdinalEncoder,63.3597526550293
PolynomialEncoder,363.8182010650635
RankHotEncoder,933.4441773891449
SumEncoder,270.84103298187256
TargetEncoder,734.0409388542175
MinHashEncoder,405.8863835334778
SimilarityEncoder,2114.749000310898
GapEncoder,315.00956177711487
MeanEncoder,1070.6549189090729
DecisionTreeEncoder,358.49727988243103
QuantileEncoder,297.15353560447693
SummaryEncoder,439.94828939437866
